epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2442.75,0.90117,0.86347,1.39727,0.69167,0.70992,0.72827,0.50749,1.09823,0.70532,1.64985,0.005743,0.005743,0.005743
45,2495.04,0.89776,0.84674,1.39624,0.69358,0.68771,0.73537,0.5071,1.11009,0.72271,1.69036,0.005644,0.005644,0.005644
46,2546.66,0.88721,0.85657,1.38975,0.70824,0.67401,0.73578,0.52008,1.11031,0.73564,1.68931,0.005545,0.005545,0.005545
47,2598.64,0.8959,0.85606,1.3897,0.74239,0.67834,0.73604,0.50756,1.10474,0.71581,1.6787,0.005446,0.005446,0.005446
48,2650.39,0.88453,0.82939,1.38224,0.73714,0.6657,0.73574,0.51273,1.10143,0.70836,1.65827,0.005347,0.005347,0.005347
49,2702.61,0.88087,0.83951,1.37975,0.74514,0.71669,0.75897,0.52384,1.09947,0.66399,1.65054,0.005248,0.005248,0.005248
50,2754.51,0.88466,0.82104,1.38099,0.7496,0.67491,0.74983,0.52043,1.11404,0.68126,1.65826,0.005149,0.005149,0.005149
51,2806.06,0.87501,0.80975,1.37419,0.69774,0.69559,0.73184,0.51004,1.13099,0.68172,1.72121,0.00505,0.00505,0.00505
52,2858.04,0.86621,0.8006,1.36473,0.72952,0.69887,0.74878,0.51702,1.09243,0.68992,1.65063,0.004951,0.004951,0.004951
53,2909.75,0.86901,0.80393,1.36821,0.72267,0.67204,0.73653,0.5183,1.10397,0.68807,1.65247,0.004852,0.004852,0.004852
54,2961.53,0.85917,0.79689,1.35853,0.74967,0.66184,0.74216,0.52136,1.10563,0.67239,1.64989,0.004753,0.004753,0.004753
55,3013.31,0.85888,0.78562,1.35953,0.67342,0.70648,0.72557,0.51966,1.10708,0.7402,1.66566,0.004654,0.004654,0.004654
56,3064.77,0.85546,0.77397,1.3568,0.72489,0.687,0.74238,0.51393,1.10151,0.69737,1.62594,0.004555,0.004555,0.004555
57,3116.72,0.83635,0.75672,1.3474,0.72359,0.69001,0.73945,0.51768,1.12269,0.6649,1.66008,0.004456,0.004456,0.004456
58,3168.18,0.83942,0.75911,1.35084,0.7591,0.6547,0.73652,0.51,1.08721,0.69283,1.60815,0.004357,0.004357,0.004357
59,3220.43,0.83772,0.7506,1.34658,0.72778,0.69385,0.7462,0.52504,1.1029,0.66726,1.65475,0.004258,0.004258,0.004258
60,3271.96,0.84397,0.749,1.34586,0.72528,0.6996,0.74925,0.53846,1.10237,0.66131,1.6471,0.004159,0.004159,0.004159
61,3323.8,0.82181,0.73421,1.33241,0.73444,0.6986,0.75576,0.53173,1.10248,0.66617,1.65596,0.00406,0.00406,0.00406
62,3376.17,0.82839,0.74262,1.33486,0.71007,0.7089,0.74845,0.52719,1.08773,0.68719,1.6232,0.003961,0.003961,0.003961
63,3427.61,0.81779,0.72831,1.32981,0.73459,0.67872,0.74704,0.53153,1.10327,0.64643,1.66214,0.003862,0.003862,0.003862
64,3479.58,0.82302,0.72225,1.33069,0.73086,0.694,0.75557,0.53393,1.08535,0.68123,1.62949,0.003763,0.003763,0.003763
65,3531.46,0.80899,0.71107,1.32756,0.71666,0.70198,0.74918,0.53619,1.10754,0.66363,1.65414,0.003664,0.003664,0.003664
66,3583.21,0.81945,0.72001,1.32727,0.72124,0.6932,0.75028,0.53743,1.07137,0.65886,1.61982,0.003565,0.003565,0.003565
67,3635.25,0.81112,0.71173,1.32253,0.72488,0.69952,0.74748,0.53461,1.09246,0.67787,1.64187,0.003466,0.003466,0.003466
68,3686.55,0.8077,0.70834,1.32038,0.72097,0.6871,0.74065,0.52703,1.1073,0.68895,1.66173,0.003367,0.003367,0.003367
69,3740.03,0.80026,0.6835,1.31449,0.73733,0.69022,0.7388,0.52634,1.1129,0.6923,1.67565,0.003268,0.003268,0.003268
70,3793.62,0.79705,0.69542,1.3098,0.73426,0.6827,0.73357,0.52429,1.10475,0.67518,1.65552,0.003169,0.003169,0.003169
71,3847.32,0.79145,0.68938,1.31083,0.7095,0.70753,0.74361,0.52821,1.0955,0.69644,1.64888,0.00307,0.00307,0.00307
72,3901.14,0.79031,0.69262,1.30723,0.71499,0.69986,0.74673,0.52356,1.11693,0.68427,1.66954,0.002971,0.002971,0.002971
73,3953.34,0.78065,0.67353,1.29895,0.71325,0.68163,0.73081,0.52348,1.09023,0.6933,1.63635,0.002872,0.002872,0.002872
74,4005.8,0.77574,0.66417,1.29364,0.74793,0.67417,0.73915,0.52823,1.10648,0.69457,1.65594,0.002773,0.002773,0.002773
75,4058.01,0.76767,0.66161,1.29453,0.71692,0.71952,0.74525,0.52038,1.11187,0.67123,1.66582,0.002674,0.002674,0.002674
76,4109.58,0.76974,0.66212,1.29039,0.73225,0.67616,0.72576,0.51513,1.09736,0.68255,1.66466,0.002575,0.002575,0.002575
77,4161.92,0.77179,0.65416,1.29063,0.72723,0.69829,0.73902,0.52475,1.10505,0.66906,1.65655,0.002476,0.002476,0.002476
78,4214.24,0.76717,0.64877,1.28732,0.73435,0.69489,0.74122,0.52951,1.08203,0.6519,1.63964,0.002377,0.002377,0.002377
79,4267.45,0.7583,0.64023,1.28029,0.7232,0.70178,0.73839,0.52119,1.09725,0.66964,1.64895,0.002278,0.002278,0.002278
80,4320.04,0.76042,0.63843,1.28085,0.72695,0.697,0.74345,0.5267,1.09562,0.67008,1.64843,0.002179,0.002179,0.002179
81,4372.04,0.74972,0.63662,1.27161,0.77115,0.67646,0.74683,0.53313,1.09721,0.66804,1.65104,0.00208,0.00208,0.00208
82,4424.56,0.74819,0.62913,1.27462,0.76564,0.68212,0.74803,0.53565,1.09113,0.66484,1.64007,0.001981,0.001981,0.001981
83,4476.51,0.74851,0.62229,1.27034,0.74494,0.68577,0.73747,0.53073,1.07876,0.66641,1.63338,0.001882,0.001882,0.001882
84,4528.26,0.74561,0.61954,1.27259,0.74354,0.69567,0.74763,0.53319,1.08609,0.67651,1.64125,0.001783,0.001783,0.001783
85,4580.66,0.73745,0.61443,1.26753,0.75703,0.67979,0.74651,0.53585,1.09643,0.66246,1.65558,0.001684,0.001684,0.001684
