epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7334,1.18296,3.1051,1.6709,0.60841,0.45069,0.46264,0.25266,1.33938,1.62155,1.96306,0.00332528,0.00332528,0.00332528
2,120.407,1.1887,2.12439,1.65268,0.64424,0.46963,0.49882,0.27247,1.55778,1.65046,2.29832,0.00663225,0.00663225,0.00663225
3,176.116,1.26357,2.0621,1.72286,0.4189,0.32197,0.26782,0.11786,1.88176,2.32384,2.50057,0.00991281,0.00991281,0.00991281
4,232.658,1.29921,2.01462,1.75197,0.34901,0.39848,0.35278,0.14682,2.00213,1.97394,2.77623,0.0098812,0.0098812,0.0098812
5,287.804,1.27481,1.85964,1.73364,0.4494,0.43502,0.4466,0.24484,1.75651,2.04619,2.40466,0.0098416,0.0098416,0.0098416
6,342.956,1.22958,1.72206,1.6966,0.47576,0.45216,0.46635,0.27102,1.62988,1.84434,2.25396,0.009802,0.009802,0.009802
7,399.622,1.1951,1.61979,1.66396,0.59294,0.5171,0.57797,0.34128,1.50877,1.43091,2.22688,0.0097624,0.0097624,0.0097624
8,454.297,1.19466,1.57521,1.66143,0.56524,0.51213,0.57982,0.31355,1.56902,1.44717,2.2091,0.0097228,0.0097228,0.0097228
9,508.419,1.16759,1.50439,1.63998,0.60387,0.56487,0.62012,0.37741,1.37635,1.23508,1.93644,0.0096832,0.0096832,0.0096832
10,563.2,1.14309,1.44561,1.61531,0.59236,0.57411,0.61626,0.37795,1.40746,1.22086,2.02262,0.0096436,0.0096436,0.0096436
11,617.699,1.13359,1.42373,1.60967,0.67382,0.55716,0.63065,0.39683,1.31206,1.11185,1.91716,0.009604,0.009604,0.009604
12,672.732,1.11989,1.38336,1.59441,0.62562,0.59616,0.64211,0.39776,1.34592,1.07657,1.9543,0.0095644,0.0095644,0.0095644
13,727.524,1.1037,1.33325,1.58202,0.68578,0.56964,0.65719,0.41713,1.32183,1.06591,1.89388,0.0095248,0.0095248,0.0095248
14,782.201,1.10055,1.3232,1.57887,0.65316,0.61206,0.67403,0.4085,1.32351,1.03072,1.89918,0.0094852,0.0094852,0.0094852
15,836.72,1.08745,1.29053,1.56908,0.63501,0.62905,0.67218,0.42467,1.29409,1.06578,1.91126,0.0094456,0.0094456,0.0094456
16,891.3,1.06993,1.24185,1.55413,0.65015,0.57744,0.63776,0.4226,1.24554,1.0463,1.87787,0.009406,0.009406,0.009406
17,946.153,1.07567,1.23156,1.55303,0.66701,0.64382,0.69904,0.44388,1.26901,0.98153,1.87499,0.0093664,0.0093664,0.0093664
18,1000.9,1.073,1.22292,1.54725,0.64073,0.65615,0.6751,0.43846,1.28422,0.94311,1.87482,0.0093268,0.0093268,0.0093268
19,1055.37,1.04965,1.1913,1.53378,0.65133,0.59138,0.66248,0.42817,1.24445,1.02609,1.83491,0.0092872,0.0092872,0.0092872
20,1110.32,1.04678,1.18321,1.52508,0.66684,0.65305,0.69178,0.45527,1.27231,0.92313,1.87378,0.0092476,0.0092476,0.0092476
21,1164.98,1.04461,1.15922,1.52821,0.64211,0.66958,0.69972,0.46699,1.17067,0.87859,1.76974,0.009208,0.009208,0.009208
22,1220.3,1.03415,1.16633,1.52416,0.68426,0.61361,0.6824,0.45025,1.21405,0.92053,1.78414,0.0091684,0.0091684,0.0091684
23,1275.17,1.03614,1.13784,1.516,0.67111,0.67119,0.71208,0.48271,1.20412,0.84705,1.78313,0.0091288,0.0091288,0.0091288
24,1329.6,1.01351,1.10405,1.49947,0.69192,0.64545,0.70405,0.4771,1.15725,0.84213,1.73432,0.0090892,0.0090892,0.0090892
25,1383.95,1.02553,1.11083,1.51233,0.6406,0.67571,0.69321,0.46753,1.15401,0.88323,1.72227,0.0090496,0.0090496,0.0090496
26,1438.98,1.01535,1.11517,1.49434,0.67822,0.65891,0.71437,0.47641,1.2463,0.85561,1.82435,0.00901,0.00901,0.00901
27,1493.73,0.9986,1.07211,1.48766,0.71909,0.69527,0.72199,0.49099,1.18163,0.83344,1.7484,0.0089704,0.0089704,0.0089704
28,1548.28,1.0079,1.06463,1.49496,0.70837,0.61583,0.70328,0.46169,1.25083,0.88291,1.86789,0.0089308,0.0089308,0.0089308
